Zeitpunkt des Exports,Messstellenname,ID,Messstellenart,Hoehensystem,Gelaendehoehe (in Meter HS),Filteroberkante (in Meter HS),Filterunterkante (in Meter HS),NW - Niedrigster gemessener Wasserstand [cm u. GOK],MW - Mittlerer Wasserstand [cm u. GOK],HW - Hoechster gemessener Wasserstand [cm u. GOK],NW - Niedrigster gemessener Wasserstand [m ue. NHN],MW - Mittlerer Wasserstand [m ue. NHN],HW - Hoechster gemessener Wasserstand [m ue. NHN],Bezugszeitraum Hauptwerte,MW Januar [cm uGOK],MW Februar [cm uGOK],MW Maerz [cm uGOK],MW April [cm uGOK],MW Mai [cm uGOK],MW Juni [cm uGOK],MW Juli [cm uGOK],MW August [cm uGOK],MW September [cm uGOK],MW Oktober [cm uGOK],MW November [cm uGOK],MW Dezember [cm uGOK],Grundwasserleiterkomplex,loc_id,loc_name,east_3857,north_3857,east_25833,north_25833,x,y,geometry
02.02.2026,"26486011, Schapow, ARTESER",26486011,Arteser,NHN92,"59,5","38,65","36,65",-10,-59,-135,"59,61","60,09","60,86",1979 / 2025,,,,,,,,,,,,,,15488,"26486011, Schapow, ARTESER",1525950.17922769,7047735.3188701,413985.0,5911825.0,413985.0,5911825.0,POINT (4567823.721926159 3366371.844164265)
02.02.2026,"43520088, Laubsdorf",43520088,Brunnen,NN,"88,35",,,250,163,-24,"85,85","86,72","88,59",1953 / 2025,,,,,,,,,,,,,,10855,"43520088, Laubsdorf",1607647.8417037,6741677.4067572,461399.3,5725103.84,461399.3,5725103.84,POINT (4628030.718705397 3183252.070670608)
02.02.2026,"36532690, Frankfurt, MÃ¼hlental, am Tunnel",36532690,Beobachtungsrohr,NHN92,"32,4",,,335,194,114,"29,05","30,46","31,26",1980 / 2025,,,,,,,,,,,,,,8836,"36532690, Frankfurt, Mühlental, am Tunnel",1619646.88716118,6857815.41253102,469295.0,5796495.0,469295.0,5796495.0,POINT (4631004.381105793 3255064.8889272516)
02.02.2026,"33512285, Kienwerder",33512285,Beobachtungsrohr,NHN92,"6,7","3,91","2,91",269,222,135,"4,01","4,48","5,35",1973 / 2025,,,,,,,,,,,,,,8921,"33512285, Kienwerder",1591712.87921986,6915579.02950111,452532.0,5831786.0,452532.0,5831786.0,POINT (4611842.605128904 3289142.403232769)
02.02.2026,"31455202, Teschendorf, Kurve",31455202,Beobachtungsrohr,NHN92,"38,8","32,8","30,8",212,144,75,"36,68","37,36","38,05",1973 / 2025,,,,,,,,,,,,,,14624,"31455202, Teschendorf, Kurve",1468898.69068617,6953927.65332536,378454.0,5856282.0,378454.0,5856282.0,POINT (4536234.894363353 3308486.148599862)
02.02.2026,"34522492, Seelow,Tankstelle",34522492,Beobachtungsrohr,NHN92,"48,3",,,453,296,209,"43,77","45,34","46,21",1982 / 2025,,,,,,,,,,,,,,10076,"34522492, Seelow,Tankstelle",1601843.76594674,6897485.25991261,458598.0,5820745.0,458598.0,5820745.0,POINT (4618658.15545852 3278538.0782049014)
02.02.2026,"36441821, Potsdam, Nesselgrund, EisenbahnbrÃ¼cke, MP",36441821,Beobachtungsrohr,NHN92,"54,4","-16,9","-18,9",2249,2210,2166,"31,91","32,3","32,74",2008 / 2025,,,,,,,,,,,,,,14793,"36441821, Potsdam, Nesselgrund, Eisenbahnbrücke, MP",1451875.06639664,6864511.04703389,366682.0,5802291.0,366682.0,5802291.0,POINT (4528224.334402105 3253795.456678291)
02.02.2026,"45503120, Hosena",45503120,Beobachtungsrohr,NHN92,"115,9",,,297,130,19,"112,93","114,6","115,71",1955 / 2025,,,,,,,,,,,,,,12049,"45503120, Hosena",1561328.59487025,6701403.7783103,432295.68,5700394.04,432295.68,5700394.04,POINT (4600681.76551052 3156592.4263686817)
02.02.2026,"43501596, Reddern",43501596,Beobachtungsrohr,NHN16,"76,5","56,46","54,46",1180,609,432,"64,7","70,41","72,18",2005 / 2025,,,,,,,,,,,,,,9867,"43501596, Reddern",1567370.1793336,6743244.80128854,436393.7,5726328.0,436393.7,5726328.0,POINT (4602997.48878035 3182761.411265323)
02.02.2026,"34495032, Strausberg Treuenhof",34495032,Beobachtungsrohr,NHN92,"77,17","56,17","54,17",1315,1198,1025,"64,02","65,19","66,92",2001 / 2025,,,,,,,,,,,,,,11491,"34495032, Strausberg Treuenhof",1550475.84442294,6903849.14532447,427357.0,5824976.0,427357.0,5824976.0,POINT (4587194.995543269 3280612.120264198)
