ID,Grundwasserleiter,Grundwasserdruckflaeche,is_topmost,file_path
17312,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_17312.csv
17315,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_17315.csv
17316,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_17316.csv
17319,Elsterzeitl. GW-Leiter (GWL 3),,False,data/raw/Berlin_wells/timeseries\station_17319.csv
17321,lokal ausgebildeter Grundwasserk�rper,,False,data/raw/Berlin_wells/timeseries\station_17321.csv
17322,lokal ausgebildeter Grundwasserk�rper,,False,data/raw/Berlin_wells/timeseries\station_17322.csv
176,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_176.csv
178,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_178.csv
17900,Moor-Messstelle,,False,data/raw/Berlin_wells/timeseries\station_17900.csv
17901,Moor-Messstelle,,False,data/raw/Berlin_wells/timeseries\station_17901.csv
17903,Moor-Messstelle,,False,data/raw/Berlin_wells/timeseries\station_17903.csv
17904,Moor-Messstelle,,False,data/raw/Berlin_wells/timeseries\station_17904.csv
17905,Moor-Messstelle,,False,data/raw/Berlin_wells/timeseries\station_17905.csv
17907,Moor-Messstelle,,False,data/raw/Berlin_wells/timeseries\station_17907.csv
17908,Moor-Messstelle,,False,data/raw/Berlin_wells/timeseries\station_17908.csv
17909,Moor-Messstelle,,False,data/raw/Berlin_wells/timeseries\station_17909.csv
17910,Moor-Messstelle,,False,data/raw/Berlin_wells/timeseries\station_17910.csv
17911,Moor-Messstelle,,False,data/raw/Berlin_wells/timeseries\station_17911.csv
17912,Moor-Messstelle,,False,data/raw/Berlin_wells/timeseries\station_17912.csv
181,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_181.csv
182,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_182.csv
185,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_185.csv
2,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_2.csv
200,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_200.csv
201,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_201.csv
