well_id,region,slope_m_per_year,p_value,tau,mean_level,std_level,total_change_est,count,start_date,end_date
32429805,Brandenburg,0.014506719456448299,2.2196582184488428e-32,0.2270271662129398,28.580355209187854,0.3335893154946688,0.37699597831788434,1219,2000-01-02,2025-12-28
33512293,Brandenburg,-0.008262134342133784,2.4859197401837096e-18,-0.16156441540366911,8.06453191644756,0.2705697613892185,-0.21471370068592435,1304,2000-01-02,2025-12-28
34480965,Brandenburg,-0.029617219174815156,3.3223244224806517e-50,-0.2846326814475384,46.49227198697068,0.554712533143967,-0.769682804674457,1228,2000-01-02,2025-12-28
32454663,Brandenburg,0.0,0.8657867519744713,-0.003249707011409614,34.608589007383095,0.26198252340546024,0.0,1219,2000-01-02,2025-10-26
33455426,Brandenburg,-0.005494547599246864,1.6134720691053236e-13,-0.1456407880048229,31.51360465116279,0.18766182114921576,-0.14184281810622498,1161,2000-01-02,2025-10-26
38510161,Brandenburg,0.008529546146816029,3.766074543575834e-49,0.2738152633683637,40.63722125614499,0.19435367643584808,0.221663113006373,1298,2000-01-02,2025-12-28
35442314,Brandenburg,-0.03214439214081046,1.006372016966948e-46,-0.28116252342483283,30.920152682648403,0.5524434687312982,-0.8347421203438391,1168,2000-01-02,2025-12-21
39441714,Brandenburg,-0.01124711316397233,2.0877797350679067e-29,-0.21404724616925594,50.947435897435895,0.2510497110719765,-0.2922863741339503,1248,2000-01-02,2025-12-28
30429065,Brandenburg,-0.009515848892748386,1.4473435706202606e-12,-0.1351790183700213,45.22599351175994,0.32008243305150363,-0.24565349544072426,1233,2000-01-02,2025-10-26
38451286,Brandenburg,0.003913392857143006,2.705679576774619e-06,0.08949061259831712,42.865072463768115,0.2047350974489333,0.10170000000000386,1242,2000-01-02,2025-12-28
34480962,Brandenburg,-0.030449033724895637,4.5113788182722705e-45,-0.2697746474307676,43.95979132569558,0.5819381605804982,-0.7912997347480065,1222,2000-01-02,2025-12-28
36532681,Brandenburg,-0.043892054283642484,3.6895019894721585e-145,-0.475132879011371,52.68662361583159,0.45796965749997265,-1.1347643219724464,1303,2000-01-02,2025-11-09
31502036,Brandenburg,-0.015932388222464573,2.493926318025014e-63,-0.32190446230751124,2.0296824104234528,0.27376488423544015,-0.41404580152671794,1228,2000-01-02,2025-12-28
33455011,Brandenburg,-0.015003423094477384,1.0441479935131458e-42,-0.2728104926991735,31.479907488986782,0.27641285485950234,-0.3876038338658141,1135,2000-01-02,2025-11-02
32512157,Brandenburg,0.006843091334894581,0.00018504690931763466,0.07130156529221571,5.548807785888078,0.4714125616493727,0.1771803278688516,1233,2000-01-02,2025-11-23
32502103,Brandenburg,-0.0076545581557806415,4.317051241446848e-22,-0.18567642222898306,3.89701797385621,0.2717611041266873,-0.19892420537897287,1224,2000-01-02,2025-12-28
31512062,Brandenburg,-0.007297153598281432,1.458448154943718e-34,-0.22905726929846612,2.0674317027978506,0.16818606468939762,-0.18781804511278233,1285,2000-01-02,2025-09-28
36422952,Brandenburg,-0.00818779294884854,1.3680185430944913e-20,-0.17987367278718475,30.5821043910522,0.2288421467406687,-0.2127817403708976,1207,2000-01-02,2025-12-28
32502104,Brandenburg,-0.01441397000789261,2.1613792229501623e-58,-0.2985552526650186,2.350683459416,0.2585386259042298,-0.3745856353591147,1303,2000-01-02,2025-12-28
37413740,Brandenburg,-0.00603537629562863,1.782012463479395e-09,-0.11600385758221304,38.88605610561056,0.2564629107199183,-0.15684542586750708,1212,2000-01-02,2025-12-28
32512150,Brandenburg,-0.011969796512793717,9.625606888856232e-66,-0.3192397881962644,2.1791995640769883,0.20330915102047717,-0.30808502947781996,1289,2000-01-02,2025-09-28
39441116,Brandenburg,-0.011425964546402935,1.1939452886149957e-16,-0.15829125917632286,58.561792682926836,0.4506990704911453,-0.2969343065693543,1230,2000-01-02,2025-12-28
32464600,Brandenburg,-0.01671199796644634,3.473053627422903e-24,-0.19457815245028254,47.8964631147541,0.41517916667717963,-0.4314234875444833,1220,2000-01-02,2025-10-26
31502031,Brandenburg,0.0005515705225007555,0.005328366451031415,0.05405427416988925,1.0356923076923077,0.0808201035084205,0.014334038054968298,1235,2000-01-02,2025-12-28
28330005,Brandenburg,-0.009757488832442854,4.1568549144765267e-13,-0.1365875761558365,12.752421687658384,0.3510679044751607,-0.25357449417535266,1259,2000-01-02,2025-12-28
26471097,Brandenburg,-0.03228145588944556,1.4019449826358162e-91,-0.3715198198759968,72.50075741476155,0.4247180810755983,-0.8389201349832094,1331,2000-01-02,2025-12-28
38522800,Brandenburg,-0.0030098856491675295,1.0289727311879315e-06,-0.09533229817765469,93.5012869652946,0.17718236762180262,-0.07821994409828388,1180,2000-01-02,2025-12-28
36441897,Brandenburg,-0.02057746478873248,2.4377756860534464e-63,-0.3167701046608725,34.819948657187986,0.30806769437080295,-0.5347605633802839,1266,2000-01-02,2025-12-28
34512425,Brandenburg,0.00692164723032041,8.863901011833613e-08,0.10125320606537624,11.399691239928208,0.32250355233474653,0.17987755102040062,1247,2000-01-02,2025-12-28
32512166,Brandenburg,-0.0039038777315587793,2.535398108820184e-18,-0.16276972427498784,1.287047619047619,0.1351523846938665,-0.10145272396428728,1293,2000-01-02,2025-12-28
39451180,Brandenburg,-0.004468873880487319,1.1602113317562528e-26,-0.2042569912244489,46.56424531141468,0.1107053965902248,-0.1161356628982495,1234,2000-01-02,2025-12-28
37431614,Brandenburg,-0.006067275747508536,1.3711697920916848e-20,-0.17790167960906642,39.11198846875838,0.1547878623722008,-0.15767441860465714,1243,2000-01-02,2025-12-28
28400223,Brandenburg,-0.02335358056265947,9.618402738459242e-61,-0.3132284416020941,77.37168012924072,0.3592157421090865,-0.6028772378516527,1238,2000-01-02,2025-10-26
41476552,Brandenburg,0.0,0.8820411254362295,-0.0028487313132144467,68.20416734362307,0.17806369292642885,0.0,1231,2000-01-02,2025-08-24
29370010,Brandenburg,-0.005270562770562792,3.343038044951355e-05,-0.07918839410014318,30.149720421393845,0.3144016577355413,-0.1360606060606066,1234,2000-01-02,2025-10-26
32392351,Brandenburg,-0.004018888685127367,0.004233094536681544,-0.05433194242862904,24.62834939759036,0.3613445807449915,-0.10444159178433667,1245,2000-01-02,2025-12-28
33452454,Brandenburg,-0.010829514824797788,1.0348219111173601e-19,-0.17663634209434237,31.42052100840336,0.2875466742892038,-0.27977358490565896,1190,2000-01-02,2025-11-02
29438110,Brandenburg,-0.0030513784461151145,2.4716146311164764e-10,-0.12257926763259788,55.76692434210526,0.12554649301140158,-0.07877192982455691,1216,2000-01-02,2025-10-26
31419708,Brandenburg,-0.011719251336898443,1.128617034549617e-12,-0.13611506747992252,32.7050326264274,0.40380924652801037,-0.30253475935829,1226,2000-01-02,2025-10-26
36471402,Brandenburg,-0.005065880721220239,7.584482954293966e-05,-0.0753363948737169,37.25178887993554,0.3406577851460538,-0.1316504854368857,1241,2000-01-02,2025-12-28
32445310,Brandenburg,-0.002828106852496534,0.06554301507705493,-0.035092506620663697,35.664077669902916,0.4077043718294055,-0.07300813008128629,1236,2000-01-02,2025-10-26
26471099,Brandenburg,-0.03374062020351271,1.9857730690467322e-130,-0.4803160043014809,72.2588812025686,0.38142518701656236,-0.8768404297652092,1142,2000-01-02,2025-12-28
